tweetID,tweet,userID,username,userURL,time,tweetURL
398654325330698240,"RT @AyalaCentrio: (1/2) Due to Monster Typhoon #YolandaPH, Julie Anne San Jose won't make it because of airline initiated cancelled flights.",1320034327,Barredo_R17,http://julieannesanjose.com,Fri Nov 08 03:32:52 +0000 2013,https://twitter.com/Barredo_R17/status/398654325330698240
398654325431341056,#BeCarefulWithMyHeart now 💞,544277846,itspreciouslara,http://Instagram.com/yeahitsprecious,Fri Nov 08 03:32:52 +0000 2013,https://twitter.com/itspreciouslara/status/398654325431341056
398654327239086080,"RT @DylanQuinnell: RT @WorldVisionNews ""Billboards are flying around like kites,"" @Mai__Zamora from @WorldVisionPH as #Typhoon #Haiyan swee…",261587658,iSharriz,,Fri Nov 08 03:32:52 +0000 2013,https://twitter.com/iSharriz/status/398654327239086080
398654329952813056,signal #1 :(  #YolandaPH #PrayForThePhilippines,975958824,rosemaliiiiit,https://www.facebook.com/rosemalagoo,Fri Nov 08 03:32:53 +0000 2013,https://twitter.com/rosemaliiiiit/status/398654329952813056
398654332163215360,RT @wxbrad: Start Praying for the #philippines http://t.co/usjvcKxJlR,1964721475,Marvssyyy,,Fri Nov 08 03:32:54 +0000 2013,https://twitter.com/Marvssyyy/status/398654332163215360
398654333476032512,Heavy rain and wind here in negros oriental..cnt go to work #YolandaPH,147447208,dimples_beth,,Fri Nov 08 03:32:54 +0000 2013,https://twitter.com/dimples_beth/status/398654333476032512
398654335275397120,Dealing with this storm is hard enough but please please please do not ever abandon your pets. They're just as scared as you are. #YolandaPH,41605837,mimivarguhz,http://Instagram.com/mimivarguhz,Fri Nov 08 03:32:54 +0000 2013,https://twitter.com/mimivarguhz/status/398654335275397120
398654335120588800,Powers is out... - ... see you guys on the other side. #yolandaPH http://t.co/E4qIlnu93y,15718109,madasamarinebio,http://madasamarinebiologist.com/,Fri Nov 08 03:32:54 +0000 2013,https://twitter.com/madasamarinebio/status/398654335120588800
398654335644876800,"RT @rubyalyssa72: Pls #PrayforPhilippines ""@ANCALERTS: #UGC via @mimikins_sandy:  Ormoc City Terminal less than an hour ago #YolandaPH http…",15968617,bebird,,Fri Nov 08 03:32:54 +0000 2013,https://twitter.com/bebird/status/398654335644876800
398654336705638400,#PrayForThePhilippines  can't contact our relatives in #Leyte :((((((,450736448,akosimaddz,http://maddamski.tumblr.com/,Fri Nov 08 03:32:55 +0000 2013,https://twitter.com/akosimaddz/status/398654336705638400
398654337259675648,Typhoon #YolandaPH is shaping up to be one of the most-powerful storms ever recorded in history. But… http://t.co/guT07pkpeC,39938698,DrealTee,https://www.facebook.com/darylluscious,Fri Nov 08 03:32:55 +0000 2013,https://twitter.com/DrealTee/status/398654337259675648
398654339746496512,Were never getting back #np,1187998645,KiaraMayen,,Fri Nov 08 03:32:55 +0000 2013,https://twitter.com/KiaraMayen/status/398654339746496512
398654341084483584,RT @ABSCBNNews: #YolandaPH will hit Panay between 12-1:00pm today http://t.co/xewhTT3nIi,16722080,clumsyme,,Fri Nov 08 03:32:56 +0000 2013,https://twitter.com/clumsyme/status/398654341084483584
398654341688479744,RT @KristieKenney: My thoughts and prayers are with my Filipino friends now facing super storm #YolandaPH.  Stay safe and stay strong.,26194850,pinoymommy,,Fri Nov 08 03:32:56 +0000 2013,https://twitter.com/pinoymommy/status/398654341688479744
398654341998862336,“@Matt_Jasper: People of the Philippines. Please keep your heads down and be safe. #Haiyan http://t.co/Rbp1ajP7p0”. Prayers!,433020259,howdyMO,,Fri Nov 08 03:32:56 +0000 2013,https://twitter.com/howdyMO/status/398654341998862336
398654342267301890,#Philippines scary typhoon..,477292222,pamelaandreaE,http://Instagram.com/pamelaeco,Fri Nov 08 03:32:56 +0000 2013,https://twitter.com/pamelaandreaE/status/398654342267301890
398654342430855168,this is insane! O.O #YOLANDA http://t.co/9UNzWwqtEi @macmalz instavid,81578704,imBobCastillo,,Fri Nov 08 03:32:56 +0000 2013,https://twitter.com/imBobCastillo/status/398654342430855168
398654341269450752,"RT @capitalweather: Super typhoon #Haiyan closes in on Philippines, among strongest storms ever. Details: http://t.co/GBAiY7dN7k",28592868,MelissaArlio,,Fri Nov 08 03:32:56 +0000 2013,https://twitter.com/MelissaArlio/status/398654341269450752
398654344255385601,RT @SamaritansPurse: RT @Rodney_Trinidad: No longer walking 5-10 klms (each way) to school for these kids! #SamaritansPurse #Cambodia http:…,704306828,sherrysue66,,Fri Nov 08 03:32:56 +0000 2013,https://twitter.com/sherrysue66/status/398654344255385601
398654344536813568,Praying for everyone in the Philippines. Stay strong &amp; safe.   #Haiyan,947085043,PatriciaCaserta,,Fri Nov 08 03:32:57 +0000 2013,https://twitter.com/PatriciaCaserta/status/398654344536813568
398654344821612544,"RT @CecilyTynan: Unbelievable satellite shot of Super #Typoon #Haiyan,1of the strongest storms in history hitting the #Philippines now http…",120024215,yaku_77,,Fri Nov 08 03:32:57 +0000 2013,https://twitter.com/yaku_77/status/398654344821612544
